age,workclass,fnlgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
31,Private,210008,HS_grad,9,Never_married,Sales,Own_child,White,Female,0,0,40,United_States,<=50K
33,Private,161745,Assoc_voc,11,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,0,45,United_States,<=50K
22,Private,378104,HS_grad,9,Never_married,Handlers_cleaners,Own_child,White,Male,0,0,40,United_States,<=50K
38,Private,51838,HS_grad,9,Married_civ_spouse,Prof_specialty,Wife,White,Female,0,0,40,United_States,<=50K
37,Private,126708,HS_grad,9,Married_civ_spouse,Adm_clerical,Wife,White,Female,0,0,60,United_States,<=50K
42,Self_emp_inc,348886,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,45,United_States,>50K
45,Private,285060,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,>50K
36,Self_emp_not_inc,125933,Prof_school,15,Never_married,Prof_specialty,Not_in_family,White,Male,0,0,55,United_States,>50K
44,Private,174051,Some_college,10,Never_married,Other_service,Not_in_family,White,Male,0,0,35,United_States,<=50K
24,Private,300584,HS_grad,9,Never_married,Handlers_cleaners,Unmarried,White,Male,0,0,40,United_States,<=50K
40,Private,188291,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,>50K
38,Private,227794,Bachelors,13,Never_married,Adm_clerical,Not_in_family,Black,Male,0,0,40,United_States,<=50K
39,Private,230054,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,50,United_States,>50K
30,Private,46712,HS_grad,9,Divorced,Other_service,Not_in_family,White,Female,0,0,40,United_States,<=50K
18,Private,107277,11th,7,Never_married,Sales,Own_child,White,Female,0,0,20,United_States,<=50K
39,Private,70240,5th_6th,3,Married_spouse_absent,Other_service,Unmarried,Asian_Pac_Islander,Female,0,0,40,Philippines,<=50K
32,Private,211743,Bachelors,13,Never_married,Sales,Not_in_family,White,Male,0,0,45,United_States,<=50K
37,Self_emp_not_inc,268598,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,Other,Male,7298,0,50,Puerto_Rico,>50K
46,Private,207940,Some_college,10,Married_civ_spouse,Craft_repair,Husband,Black,Male,0,0,40,United_States,>50K
38,Private,202683,HS_grad,9,Never_married,Adm_clerical,Not_in_family,White,Male,0,0,40,United_States,<=50K
43,Private,462180,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,White,Male,99999,0,60,United_States,>50K
52,Self_emp_not_inc,162381,HS_grad,9,Divorced,Sales,Not_in_family,White,Male,0,0,40,United_States,<=50K
36,Private,107410,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,40,United_States,<=50K
49,Local_gov,288548,Masters,14,Separated,Prof_specialty,Unmarried,White,Female,0,0,50,United_States,<=50K
31,Private,189461,Assoc_acdm,12,Divorced,Adm_clerical,Unmarried,White,Female,0,0,41,United_States,<=50K
62,Private,370881,Assoc_acdm,12,Widowed,Other_service,Not_in_family,White,Female,0,0,7,United_States,<=50K
51,Self_emp_not_inc,136322,HS_grad,9,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,1579,40,United_States,<=50K
24,Private,128061,HS_grad,9,Never_married,Other_service,Own_child,White,Female,594,0,15,United_States,<=50K
61,Private,180382,5th_6th,3,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,3411,0,45,United_States,<=50K
28,Private,249362,11th,7,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,50,United_States,<=50K
40,Private,46990,Doctorate,16,Married_civ_spouse,Prof_specialty,Wife,White,Female,0,1977,20,United_States,>50K
57,Private,191318,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,>50K
37,Private,99146,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,0,0,60,United_States,>50K
41,Private,223763,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,<=50K
39,Private,117683,10th,6,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,0,0,45,United_States,<=50K
35,Private,196899,Bachelors,13,Never_married,Handlers_cleaners,Not_in_family,Asian_Pac_Islander,Female,0,0,50,Haiti,<=50K
24,Private,185821,Some_college,10,Never_married,Sales,Own_child,White,Female,0,0,40,United_States,<=50K
28,Private,76714,Prof_school,15,Never_married,Prof_specialty,Not_in_family,White,Male,0,0,55,United_States,>50K
